"","species","time","allN","newN","relNew"
"1","DM",1978 Jan,23,0,0
"2","DM",1978 Feb,18,0,0
"3","DM",1978 Mar,13,0,0
"4","DM",1978 Apr,18,0,0
"5","DM",1978 May,20,0,0
"6","DM",1978 Jun,16,0,0
"7","DM",1978 Jul,20,0,0
"8","DM",1978 Aug,19,0,0
"9","DM",1978 Sep,23,0,0
"10","DM",1978 Oct,20,0,0
"11","DM",1978 Nov,21,0,0
"12","DM",1978 Dec,19,0,0
"13","DM",1979 Jan,17,0,0
"14","DM",1979 Feb,17,0,0
"15","DM",1979 Mar,12,0,0
"16","DM",1979 Apr,8,0,0
"17","DM",1979 May,15,0,0
"18","DM",1979 Jul,15,0,0
"19","DM",1979 Aug,9,0,0
"20","DM",1979 Sep,11,0,0
"21","DM",1979 Oct,12,0,0
"22","DM",1979 Nov,16,0,0
"23","DM",1980 Jan,25,0,0
"24","DM",1980 Feb,13,0,0
"25","DM",1980 Mar,15,0,0
"26","DM",1980 Apr,15,0,0
"27","DM",1980 May,12,0,0
"28","DM",1980 Jun,14,0,0
"29","DM",1980 Jul,10,0,0
"30","DM",1980 Aug,12,0,0
"31","DM",1980 Sep,10,0,0
"32","DM",1980 Oct,9,0,0
"33","DM",1980 Nov,13,0,0
"34","DM",1980 Dec,24,0,0
"35","DM",1981 Jan,22,0,0
"36","DM",1981 Feb,11,0,0
"37","DM",1981 Mar,15,0,0
"38","DM",1981 May,18,0,0
"39","DM",1981 Jun,18,0,0
"40","DM",1981 Jul,34,0,0
"41","DM",1981 Aug,13,0,0
"42","DM",1981 Sep,9,0,0
"43","DM",1981 Oct,17,0,0
"44","DM",1981 Nov,26,0,0
"45","DM",1981 Dec,13,0,0
"46","DM",1982 Jan,33,0,0
"47","DM",1982 Feb,38,0,0
"48","DM",1982 Mar,24,0,0
"49","DM",1982 Apr,20,0,0
"50","DM",1982 May,20,0,0
"51","DM",1982 Jun,26,0,0
"52","DM",1982 Jul,28,0,0
"53","DM",1982 Aug,39,0,0
"54","DM",1982 Sep,30,0,0
"55","DM",1982 Nov,37,0,0
"56","DM",1983 Jan,38,0,0
"57","DM",1983 Feb,29,0,0
"58","DM",1983 Mar,34,0,0
"59","DM",1983 Apr,24,0,0
"60","DM",1983 May,23,0,0
"61","DM",1983 Jun,16,0,0
"62","DM",1983 Jul,18,0,0
"63","DM",1983 Aug,24,0,0
"64","DM",1983 Sep,26,0,0
"65","DM",1983 Oct,29,0,0
"66","DM",1983 Nov,28,0,0
"67","DM",1983 Dec,23,0,0
"68","DM",1984 Feb,22,0,0
"69","DM",1984 Mar,17,0,0
"70","DM",1984 Apr,12,0,0
"71","DM",1984 May,16,0,0
"72","DM",1984 Jul,27,0,0
"73","DM",1984 Aug,23,0,0
"74","DM",1984 Sep,31,0,0
"75","DM",1984 Oct,38,0,0
"76","DM",1984 Dec,21,0,0
"77","DM",1985 Jan,33,0,0
"78","DM",1985 Feb,27,0,0
"79","DM",1985 Mar,22,0,0
"80","DM",1985 May,20,0,0
"81","DM",1985 Jun,25,0,0
"82","DM",1985 Jul,28,0,0
"83","DM",1985 Aug,26,0,0
"84","DM",1985 Sep,33,0,0
"85","DM",1985 Oct,33,0,0
"86","DM",1985 Nov,44,0,0
"87","DM",1985 Dec,43,0,0
"88","DM",1986 Mar,31,0,0
"89","DM",1986 Apr,32,0,0
"90","DM",1986 May,26,0,0
"91","DM",1986 Jun,25,0,0
"92","DM",1986 Jul,31,0,0
"93","DM",1986 Aug,23,0,0
"94","DM",1986 Sep,24,0,0
"95","DM",1986 Oct,23,0,0
"96","DM",1986 Nov,33,0,0
"97","DM",1986 Dec,26,0,0
"98","DM",1987 Jan,8,0,0
"99","DM",1987 Feb,20,0,0
"100","DM",1987 Mar,30,0,0
"101","DM",1987 Apr,51,0,0
"102","DM",1987 May,28,0,0
"103","DM",1987 Jun,12,0,0
"104","DM",1987 Jul,55,0,0
"105","DM",1987 Aug,26,0,0
"106","DM",1987 Sep,23,0,0
"107","DM",1987 Oct,26,0,0
"108","DM",1987 Nov,34,0,0
"109","DM",1988 Jan,27,0,0
"110","DM",1988 Feb,32,0,0
"111","DM",1988 Mar,37,0,0
"112","DM",1988 Apr,23,0,0
"113","DM",1988 May,24,0,0
"114","DM",1988 Jun,28,0,0
"115","DM",1988 Jul,25,0,0
"116","DM",1988 Aug,26,0,0
"117","DM",1988 Sep,22,0,0
"118","DM",1988 Oct,31,0,0
"119","DM",1988 Nov,27,0,0
"120","DM",1988 Dec,33,0,0
"121","DM",1989 Jan,33,0,0
"122","DM",1989 Feb,32,0,0
"123","DM",1989 Mar,22,0,0
"124","DM",1989 Apr,22,0,0
"125","DM",1989 May,26,0,0
"126","DM",1989 Jun,25,0,0
"127","DM",1989 Jul,49,0,0
"128","DM",1989 Sep,20,0,0
"129","DM",1989 Oct,26,0,0
"130","DM",1989 Nov,25,0,0
"131","DM",1989 Dec,30,0,0
"132","DM",1990 Jan,60,0,0
"133","DM",1990 Feb,35,0,0
"134","DM",1990 Mar,36,0,0
"135","DM",1990 Apr,37,0,0
"136","DM",1990 May,35,0,0
"137","DM",1990 Jun,31,0,0
"138","DM",1990 Jul,36,0,0
"139","DM",1990 Aug,33,0,0
"140","DM",1990 Sep,27,0,0
"141","DM",1990 Oct,41,0,0
"142","DM",1990 Nov,41,0,0
"143","DM",1990 Dec,45,0,0
"144","DM",1991 Jan,39,0,0
"145","DM",1991 Feb,41,0,0
"146","DM",1991 Mar,42,0,0
"147","DM",1991 Apr,30,0,0
"148","DM",1991 May,25,0,0
"149","DM",1991 Jun,30,0,0
"150","DM",1991 Jul,29,1,0.0344827586206897
"151","DM",1991 Aug,30,0,0
"152","DM",1991 Sep,26,1,0.0384615384615385
"153","DM",1991 Oct,30,1,0.0333333333333333
"154","DM",1991 Nov,33,0,0
"155","DM",1991 Dec,34,0,0
"156","DM",1992 Jan,27,0,0
"157","DM",1992 Feb,28,0,0
"158","DM",1992 Mar,25,1,0.04
"159","DM",1992 Apr,33,1,0.0303030303030303
"160","DM",1992 May,59,0,0
"161","DM",1992 Jul,42,0,0
"162","DM",1992 Aug,19,0,0
"163","DM",1992 Sep,23,0,0
"164","DM",1992 Oct,29,0,0
"165","DM",1992 Dec,17,0,0
"166","DM",1993 Jan,16,0,0
"167","DM",1993 Feb,15,0,0
"168","DM",1993 Mar,43,1,0.0232558139534884
"169","DM",1993 Apr,15,4,0.266666666666667
"170","DM",1993 May,18,11,0.611111111111111
"171","DM",1993 Jun,19,10,0.526315789473684
"172","DM",1993 Jul,19,7,0.368421052631579
"173","DM",1993 Aug,21,6,0.285714285714286
"174","DM",1993 Sep,15,1,0.0666666666666667
"175","DM",1993 Oct,23,5,0.217391304347826
"176","DM",1993 Nov,23,5,0.217391304347826
"177","DM",1993 Dec,17,2,0.117647058823529
"178","DM",1994 Feb,47,6,0.127659574468085
"179","DM",1994 Mar,25,5,0.2
"180","DM",1994 Apr,36,11,0.305555555555556
"181","DM",1994 May,22,5,0.227272727272727
"182","DM",1994 Jun,15,6,0.4
"183","DM",1994 Jul,17,1,0.0588235294117647
"184","DM",1994 Aug,16,4,0.25
"185","DM",1994 Sep,16,2,0.125
"186","DM",1994 Oct,27,6,0.222222222222222
"187","DM",1994 Nov,27,6,0.222222222222222
"188","DM",1994 Dec,26,3,0.115384615384615
"189","DM",1995 Jan,23,1,0.0434782608695652
"190","DM",1995 Feb,30,10,0.333333333333333
"191","DM",1995 Mar,27,8,0.296296296296296
"192","DM",1995 Apr,59,22,0.372881355932203
"193","DM",1995 Jun,64,23,0.359375
"194","DM",1995 Jul,33,10,0.303030303030303
"195","DM",1995 Aug,30,3,0.1
"196","DM",1995 Sep,32,4,0.125
"197","DM",1995 Oct,39,11,0.282051282051282
"198","DM",1995 Dec,79,13,0.164556962025316
"199","DM",1996 Jan,49,35,0.714285714285714
"200","DM",1996 Feb,49,12,0.244897959183673
"201","DM",1996 Mar,30,5,0.166666666666667
"202","DM",1996 Apr,42,5,0.119047619047619
"203","DM",1996 May,33,9,0.272727272727273
"204","DM",1996 Jun,30,6,0.2
"205","DM",1996 Jul,20,3,0.15
"206","DM",1996 Aug,21,0,0
"207","DM",1996 Sep,37,15,0.405405405405405
"208","DM",1996 Oct,39,10,0.256410256410256
"209","DM",1996 Nov,42,11,0.261904761904762
"210","DM",1996 Dec,47,6,0.127659574468085
"211","DM",1997 Feb,77,31,0.402597402597403
"212","DM",1997 Mar,81,23,0.283950617283951
"213","DM",1997 Apr,54,11,0.203703703703704
"214","DM",1997 May,42,5,0.119047619047619
"215","DM",1997 Jun,50,6,0.12
"216","DM",1997 Jul,89,7,0.0786516853932584
"217","DM",1997 Sep,33,2,0.0606060606060606
"218","DM",1997 Oct,42,4,0.0952380952380952
"219","DM",1997 Nov,47,10,0.212765957446809
"220","DM",1997 Dec,37,6,0.162162162162162
"221","DM",1998 Jan,24,12,0.5
"222","DM",1998 Feb,30,16,0.533333333333333
"223","DM",1998 Mar,82,20,0.24390243902439
